Velocity;Left;Left45;Front;Right45;Right;Rotation
39.6906;3.734;6.7704;19.8824;5.2181;4.7532;8
31.1669;3.7976;6.7614;19.6824;5.1484;4.7066;8
33.1163;3.8613;6.7092;19.4824;4.9376;4.66;8
32.4478;3.925;6.6339;19.2824;5.0115;4.6134;8
35.7276;3.9904;6.5586;19.0824;4.9436;4.5668;8
35.6041;4.0558;6.4832;18.8824;4.8757;4.493;8
40.2466;4.1212;6.4079;18.6824;4.8078;4.4631;8
39.3313;4.1867;6.3326;18.4824;4.7399;4.4057;8
33.5324;4.2514;6.2572;18.2824;4.5817;4.3482;8
48.8475;4.3145;6.1819;18.0824;4.6045;4.2908;8
20.9492;4.3777;6.1066;17.8824;4.5369;4.2012;8
33.6945;4.4408;6.0312;17.6824;4.4693;4.17;8
38.4451;4.504;5.9355;17.4824;4.4018;4.1064;8
38.8237;4.5669;5.8362;17.2824;4.3342;4.0428;8
35.3095;4.6297;5.7369;17.0824;4.2666;3.9791;8
36.4258;4.6925;5.6376;16.8824;4.0258;3.9154;8
45.7182;4.7553;5.5382;16.6824;4.0867;3.8499;8
38.7287;4.8181;5.4389;16.4824;4.1651;3.7845;8
41.7278;4.8265;5.3396;16.2824;4.3502;3.7191;8
36.7098;4.8199;5.2403;16.0824;4.5353;3.6537;8
32.7406;4.8133;5.141;15.8824;4.8605;3.5891;8
40.5988;4.8068;5.0416;15.6824;5.2038;3.5259;8
28.7118;4.8002;4.9344;15.4824;5.6312;3.4627;7
39.4276;4.8104;4.8841;15.1778;5.2964;3.4169;7
33.2932;4.812;4.8442;14.8621;5.0175;3.3672;7
36.8027;4.7311;4.8149;14.5653;4.7781;3.3136;7
30.1539;4.663;4.7969;14.2865;4.5677;3.2556;7
33.5331;4.6072;4.7919;13.9702;4.3832;3.193;7
37.0263;4.5634;4.7985;13.6537;4.2127;3.1256;7
27.6763;4.4818;4.8175;13.3552;4.0534;3.0529;7
30.2259;4.4088;4.864;13.0637;3.9032;2.9743;8
29.2503;4.3603;4.8106;12.8637;4.0192;2.8482;8
26.6265;4.3119;4.7572;12.6637;4.1417;2.7221;8
29.0219;4.2634;4.7038;12.4637;4.2642;2.4544;8
36.9459;4.2121;4.6505;12.2637;4.3867;2.4378;8
29.2042;4.1518;4.5971;12.0637;4.5063;2.4243;8
35.5911;4.0915;4.5716;11.8637;4.6236;2.448;8
33.3862;4.0313;4.5502;11.6637;4.7409;2.4718;8
33.8545;3.971;4.5288;11.4637;4.8582;2.4956;8
29.6349;3.9108;4.5074;11.2637;4.9755;2.5218;8
31.264;3.8505;4.4876;11.0637;5.0633;2.5714;8
32.5679;3.7912;4.5223;10.8637;5.1467;2.6211;8
32.9268;3.7323;4.5569;10.6637;5.2301;2.6707;8
28.3267;3.6733;4.5916;10.4637;5.3134;2.7203;8
29.2313;3.6144;4.7335;10.2637;5.3968;2.7699;8
25.4862;3.572;4.534;10.1372;5.7032;2.8782;3
26.203;3.5261;4.3519;10.0116;6.0182;2.9993;3
36.9493;3.4765;4.1835;9.8967;6.3397;3.1328;3
35.0382;3.423;4.0259;9.7925;6.5697;3.2796;3
35.2999;3.3667;3.8772;9.699;6.8322;3.4376;3
33.3817;3.3109;3.7357;9.5649;7.0076;3.6102;3
34.6888;3.2507;3.6;9.4394;7.1353;3.7989;3
39.2234;3.1857;3.4692;9.324;7.2847;4.0025;3
32.9926;3.1155;3.3423;9.2186;7.3246;4.1995;3
27.1813;3.0012;3.3782;9.0186;7.2363;4.3126;8
31.575;2.8869;3.4142;8.8186;7.1481;4.4256;8
30.3137;2.7827;3.6475;8.6186;7.0599;4.5386;8
41.1511;2.7046;4.1722;8.4186;6.9717;4.6517;8
41.428;2.6265;12.8736;8.2186;6.8835;4.746;8
36.2705;2.5484;12.5856;8.0186;6.7953;4.824;8
33.0296;2.4743;12.2976;7.8186;6.6885;4.9021;8
25.0434;2.4339;12.4331;7.7081;6.599;5.0659;3
41.3242;2.3891;12.5933;7.606;6.5212;5.246;3
41.9625;2.3397;12.7816;7.4802;6.4551;5.3775;3
37.8783;2.2855;13.0177;7.3598;6.3721;5.5053;3
40.9087;2.2262;13.3091;7.2471;6.263;5.6478;3
